Time,N0,Temperature,Aw,pH,Category,Name,Organism,Predict
240.0,4.0,0.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.671024
240.0,4.0,0.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5664203
240.0,4.0,0.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5792265
240.0,4.0,0.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.7417262
240.0,4.0,0.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.526855
240.0,4.0,0.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3624363
240.0,4.0,0.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3138256
240.0,4.0,0.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6053405
240.0,4.0,0.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5991418
240.0,4.0,0.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9642445
240.0,4.0,2.5,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6705317
240.0,4.0,2.5,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5717654
240.0,4.0,2.5,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5884883
240.0,4.0,2.5,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.7496386
240.0,4.0,2.5,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5594645
240.0,4.0,2.5,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.4075923
240.0,4.0,2.5,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3675098
240.0,4.0,2.5,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5783205
240.0,4.0,2.5,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5721424
240.0,4.0,2.5,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.8769485
240.0,4.0,5.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6366644
240.0,4.0,5.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.518261
240.0,4.0,5.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5395317
240.0,4.0,5.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6947782
240.0,4.0,5.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.4524393
240.0,4.0,5.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.256359
240.0,4.0,5.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.1795177
240.0,4.0,5.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.2573953
240.0,4.0,5.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.172314
240.0,4.0,5.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.387366
240.0,4.0,7.5,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5011332
240.0,4.0,7.5,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3603268
240.0,4.0,7.5,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3921564
240.0,4.0,7.5,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5769086
240.0,4.0,7.5,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3276556
240.0,4.0,7.5,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.096124
240.0,4.0,7.5,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9836851
240.0,4.0,7.5,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.0416543
240.0,4.0,7.5,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9279127
240.0,4.0,7.5,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.2067072
240.0,4.0,10.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6257124
240.0,4.0,10.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3086045
240.0,4.0,10.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3141847
240.0,4.0,10.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.480018
240.0,4.0,10.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.2130063
240.0,4.0,10.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9227711
240.0,4.0,10.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.7222509
240.0,4.0,10.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.6559534
240.0,4.0,10.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.3329884
240.0,4.0,10.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.5674222
240.0,4.0,12.5,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6179686
240.0,4.0,12.5,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.2328877
240.0,4.0,12.5,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.235678
240.0,4.0,12.5,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.4284701
240.0,4.0,12.5,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.1392584
240.0,4.0,12.5,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.8620088
240.0,4.0,12.5,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.5575284
240.0,4.0,12.5,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.5061237
240.0,4.0,12.5,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.2604607
240.0,4.0,12.5,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.5351478
240.0,4.0,15.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.7989078
240.0,4.0,15.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.3070421
240.0,4.0,15.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.2978327
240.0,4.0,15.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.5203176
240.0,4.0,15.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.231755
240.0,4.0,15.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9537995
240.0,4.0,15.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.5779911
240.0,4.0,15.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.4688433
240.0,4.0,15.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.2528998
240.0,4.0,15.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.4423595
240.0,4.0,17.5,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.6538208
240.0,4.0,17.5,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.0124605
240.0,4.0,17.5,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9876612
240.0,4.0,17.5,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.282415
240.0,4.0,17.5,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.9786592
240.0,4.0,17.5,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.6933302
240.0,4.0,17.5,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.1944108
240.0,4.0,17.5,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.102772
240.0,4.0,17.5,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.97018427
240.0,4.0,17.5,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.33054242
240.0,4.0,20.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.453097
240.0,4.0,20.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.6362293
240.0,4.0,20.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.6119499
240.0,4.0,20.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.0046628
240.0,4.0,20.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.662285
240.0,4.0,20.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.3875387
240.0,4.0,20.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.911285
240.0,4.0,20.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.8702433
240.0,4.0,20.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.5486405
240.0,4.0,20.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.08494199
240.0,4.0,22.5,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.420067
240.0,4.0,22.5,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.5498408
240.0,4.0,22.5,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.5181221
240.0,4.0,22.5,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.8931551
240.0,4.0,22.5,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.55157
240.0,4.0,22.5,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.2597265
240.0,4.0,22.5,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.8145347
240.0,4.0,22.5,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.83825845
240.0,4.0,22.5,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.65508306
240.0,4.0,22.5,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.2799102
240.0,4.0,25.0,0.9,3.5,Culture medium,Broth,Aeromonas hydrophila,-2.0848725
240.0,4.0,25.0,0.91,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.0882313
240.0,4.0,25.0,0.92,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.0539856
240.0,4.0,25.0,0.93,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.3833684
240.0,4.0,25.0,0.94,3.5,Culture medium,Broth,Aeromonas hydrophila,-1.0657567
240.0,4.0,25.0,0.95,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.7983099
240.0,4.0,25.0,0.96,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.41065842
240.0,4.0,25.0,0.97,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.42889875
240.0,4.0,25.0,0.98,3.5,Culture medium,Broth,Aeromonas hydrophila,-0.21582524
240.0,4.0,25.0,0.99,3.5,Culture medium,Broth,Aeromonas hydrophila,0.06467201
240.0,4.0,0.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.415069
240.0,4.0,0.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3099122
240.0,4.0,0.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3128445
240.0,4.0,0.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.4544103
240.0,4.0,0.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2241268
240.0,4.0,0.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0397894
240.0,4.0,0.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9921741
240.0,4.0,0.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2991927
240.0,4.0,0.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.325893
240.0,4.0,0.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.69987
240.0,4.0,2.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3828838
240.0,4.0,2.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2821705
240.0,4.0,2.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.288724
240.0,4.0,2.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.4271946
240.0,4.0,2.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2202878
240.0,4.0,2.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0493436
240.0,4.0,2.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0076227
240.0,4.0,2.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2359445
240.0,4.0,2.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2725987
240.0,4.0,2.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5920523
240.0,4.0,5.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3323722
240.0,4.0,5.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2122107
240.0,4.0,5.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.2211359
240.0,4.0,5.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3515131
240.0,4.0,5.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0924747
240.0,4.0,5.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.8778144
240.0,4.0,5.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.7993379
240.0,4.0,5.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.8976097
240.0,4.0,5.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.861333
240.0,4.0,5.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.0970045
240.0,4.0,7.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1905572
240.0,4.0,7.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.0482848
240.0,4.0,7.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.067768
240.0,4.0,7.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.231401
240.0,4.0,7.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9693564
240.0,4.0,7.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.7199445
240.0,4.0,7.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.607081
240.0,4.0,7.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.6882389
240.0,4.0,7.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.6250051
240.0,4.0,7.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.9213473
240.0,4.0,10.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.3093555
240.0,4.0,10.0,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9941837
240.0,4.0,10.0,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9882689
240.0,4.0,10.0,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1375623
240.0,4.0,10.0,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.857898
240.0,4.0,10.0,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5520598
240.0,4.0,10.0,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3580676
240.0,4.0,10.0,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.3179101
240.0,4.0,10.0,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.0413481
240.0,4.0,10.0,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.27846667
240.0,4.0,12.5,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.326424
240.0,4.0,12.5,0.91,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.942065
240.0,4.0,12.5,0.92,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.9333633
240.0,4.0,12.5,0.93,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.1152277
240.0,4.0,12.5,0.94,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.8163626
240.0,4.0,12.5,0.95,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.5232038
240.0,4.0,12.5,0.96,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.2239804
240.0,4.0,12.5,0.97,4.0,Culture medium,Broth,Aeromonas hydrophila,-1.1923707
240.0,4.0,12.5,0.98,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.9832032
240.0,4.0,12.5,0.99,4.0,Culture medium,Broth,Aeromonas hydrophila,-0.24220169
240.0,4.0,15.0,0.9,4.0,Culture medium,Broth,Aeromonas hydrophila,-2.5328832
